Genre,Centroid,Bandwith,Tonnetz,Chroma,RMS,Flat,Contrast,Zero-Crossing-Rate,Roll-Off,MFCC-1,MFCC-2,MFCC-3,MFCC-4,MFCC-5,MFCC-6,MFCC-7,MFCC-8,MFCC-9,MFCC-10,MFCC-11,MFCC-12,MFCC-13,MFCC-14,MFCC-15,MFCC-16,MFCC-17,MFCC-18,MFCC-19,MFCC-20
blues,2682.2841411936142,2923.9677291945763,0.005431380680576053,0.27082804,0.15790229,17.91190946016504,5956.0789882721865,0.1018672509425754,5956.0789882721865,-75.35942,83.35071,10.695162,14.4605,14.239104,7.397377,5.2808986,-0.3932321,5.7210793,3.3658254,-2.5226786,-4.2161746,-1.8445053,-5.9071975,-1.2714547,-3.7691808,-2.8537426,-0.9322696,-1.1161617,-2.7156475
blues,2835.1193750729913,2731.752386563178,0.04646945747412336,0.26081607,0.13989581,16.84143093790685,5944.9793131888055,0.1370099061049884,5944.9793131888055,-68.98024,73.7614,-12.468053,9.550569,-0.0406108,12.724537,3.1635811,-0.07432033,2.5329218,2.8792171,-1.67285,-3.015692,1.6231787,1.0967094,0.934407,-0.41497242,-1.2391863,-0.7579691,-1.7024554,-1.0375841
blues,4225.461048803119,3404.380733377869,-0.011609087351876449,0.26445475,0.09786053,17.239673062783588,8483.38257685615,0.22864062197892498,8483.38257685615,-113.163,41.597984,21.517519,11.098094,17.437098,0.60965693,3.0298932,0.08525049,3.4522667,0.28739402,0.6187023,1.2615824,2.8980768,-0.776011,0.21645004,-1.4073851,-0.7568185,-0.86751634,-1.5359049,1.0719895
blues,2525.591958741718,2848.409561321618,0.07353338947244152,0.25290498,0.19562605,19.143264350113874,5552.801896026682,0.10349447747486465,5552.801896026682,-73.37298,97.49157,16.85425,-0.59438705,7.181828,4.867855,0.75712514,-5.5480394,0.9984068,4.9286504,-5.8325953,-4.9275804,-0.031149738,-3.037111,-0.14768393,-2.3753452,0.7281252,0.68922055,1.9680396,0.8018674
blues,3070.6727406199198,2975.765677307878,-0.05551523572796198,0.2550672,0.20309304,17.165468927075526,6653.076964907193,0.14867918600154678,6653.076964907193,-18.16849,72.28313,-4.8913684,-0.37640285,1.6872772,-0.92444575,-1.3286743,-0.3421871,0.6516296,-0.18650626,-1.2240082,-1.051329,2.5230043,1.2420251,1.7439938,-3.4468458,0.39184928,-0.8587082,0.9233996,1.6603035
blues,3301.0929851622573,3175.46412669437,-0.016474932587879788,0.27074912,0.20741427,18.025615931630103,7301.5711100638055,0.14444628226508122,7301.5711100638055,-40.904087,61.539993,9.868572,10.09878,8.45437,5.3719335,8.382931,3.5187216,8.25046,5.878693,-0.09783145,-0.5606232,0.55596256,-1.9817554,1.9108728,0.07908032,-1.2651286,1.2358273,1.4984128,0.94746727
blues,3433.985232759774,3405.7666992378154,0.002741134038978282,0.26270542,0.20743433,18.00689823524703,7932.862007866879,0.12767176322022428,7932.862007866879,-48.96048,62.627907,34.227123,12.322167,16.563198,8.6150255,8.76582,5.259592,6.7995486,9.060048,-4.08107,-0.74512833,-0.38003916,-0.47521967,0.65018153,1.7141887,1.3645209,1.9240906,3.8515856,1.6070632
blues,3131.3254321239874,2944.985724987451,0.0381894594601175,0.2652325,0.21086526,17.71056325727349,6553.363079593242,0.15598678883894046,6553.363079593242,-25.120619,70.80853,2.9293947,7.533097,1.4523044,2.8564467,1.914424,-6.8212695,0.29936558,-1.9430238,-6.645997,-0.24678159,-0.7579965,-4.2492867,-2.4382405,-5.674394,-1.5684768,0.6676503,1.6919546,0.78575623
blues,2927.989977321795,3200.8357557441045,0.05284269516561503,0.25441158,0.18959826,19.296564600484132,6815.933262942285,0.10568551213263727,6815.933262942285,-106.827194,81.033424,47.809032,13.651415,13.011486,6.87809,7.5865817,-2.6358702,-2.5064447,1.8714427,-5.1371155,-2.7479079,-3.6657836,-7.8779287,-4.803598,-6.376539,-7.391505,-4.730377,-0.12420286,-2.3227947
blues,3110.898195801066,2992.0106379280487,-0.05501965762841978,0.25591663,0.1983218,17.236283908681763,6744.988602994489,0.15285733275328692,6744.988602994489,-18.84539,71.32566,-3.766896,-1.4087266,0.7054629,-1.058955,-1.0548252,-0.24742085,0.62572324,0.4270431,-1.5037422,-1.0761551,2.4198709,1.2452441,0.9670449,-3.5875123,0.8897862,-0.5054511,0.7039658,1.6666042
blues,3279.5319128282426,3026.2086958494724,-0.013979900718248913,0.2809146,0.15963759,17.071799259149763,6952.518387017836,0.1727420485305491,6952.518387017836,-35.28506,61.266712,14.046019,28.64897,4.323977,-1.36498,-0.7844544,5.128748,5.3517685,1.2258381,-7.2616506,-0.5204303,0.21532702,-1.293997,-0.10745005,-1.2567121,-2.5306878,0.57411724,1.5747033,-1.7188455
blues,3194.0815509402264,3052.790792019349,-0.018652131670740223,0.27288345,0.28242227,16.665605955192255,6993.553044790458,0.15931563587587008,6993.553044790458,24.324636,68.961525,-4.2270355,-1.0471317,5.240408,2.9899147,4.3333716,4.280864,6.4307766,3.6318948,0.11112182,-0.010404748,2.0621688,1.5450562,3.991655,2.8139195,2.196408,1.572513,-0.46671218,0.5237257
blues,3501.7665179005758,3027.137183030078,0.024577295517586886,0.26888376,0.19351788,15.867269729194824,7199.7089005401685,0.18691957596191028,7199.7089005401685,-23.21333,53.82879,-0.67234534,14.730807,4.880046,6.7325773,4.8463497,4.953851,4.270914,3.113792,2.547736,2.9871147,4.6368046,2.853151,2.1794672,1.0684476,-0.46816772,0.39431962,-1.1666565,0.5479856
